Time,Temp,Humi,Motor Temp,XVal,YVal,ZVal,Vibe,Count
1772.5499999999022,21.3,28.7,34.68,0.0,0.0,0.0,0.0,648.0
1772.8199999999022,21.3,28.7,34.68,0.0,0.0,0.0,0.0,648.0
1773.0899999999021,21.3,28.7,34.68,58.86,58.86,58.86,58.0,648.0
1773.3599999999021,21.3,28.7,34.68,402.21,58.86,176.58,212.0,648.0
1773.629999999902,21.3,28.7,34.43,0.0,0.0,0.0,0.0,649.0
1773.899999999902,21.3,28.7,34.68,0.0,0.0,58.86,19.0,649.0
1774.169999999902,21.3,28.7,34.93,58.86,58.86,107.91,75.0,649.0
1774.439999999902,21.3,28.7,34.43,166.77,0.0,117.72,94.0,649.0
1774.709999999902,21.3,28.7,34.68,0.0,58.86,0.0,19.0,649.0
1774.979999999902,21.3,28.7,34.68,0.0,0.0,58.86,19.0,649.0
1775.249999999902,21.3,28.7,34.68,0.0,0.0,58.86,19.0,649.0
1775.519999999902,21.3,28.7,34.68,0.0,58.86,58.86,39.0,649.0
1775.789999999902,21.3,28.7,34.93,107.91,107.91,117.72,111.0,649.0
1776.059999999902,21.3,28.7,34.68,225.63,58.86,49.05,111.0,649.0
1776.329999999902,21.3,28.7,34.17,58.86,58.86,0.0,39.0,650.0
1776.599999999902,21.3,28.7,34.68,0.0,58.86,0.0,19.0,650.0
1776.869999999902,21.3,28.7,34.68,58.86,58.86,176.58,98.0,650.0
1777.1399999999019,21.3,28.7,34.68,58.86,58.86,235.44,117.0,650.0
1777.4099999999019,21.3,28.7,34.93,117.72,0.0,0.0,39.0,650.0
1777.6799999999018,21.3,28.7,34.68,0.0,58.86,58.86,39.0,650.0
1777.9499999999018,21.3,28.7,34.68,0.0,0.0,58.86,19.0,650.0
1778.2199999999018,21.3,28.7,34.68,0.0,0.0,0.0,0.0,650.0
1778.4899999999018,21.3,28.7,34.93,117.72,58.86,225.63,134.0,650.0
1778.7599999999018,21.3,28.7,34.68,117.72,0.0,58.86,58.0,650.0
1779.0299999999017,21.3,28.7,34.43,58.86,58.86,0.0,39.0,651.0
1779.2999999999017,21.3,28.7,34.68,0.0,0.0,0.0,0.0,651.0
1779.5699999999017,21.3,28.7,34.68,58.86,107.91,166.77,111.0,651.0
1779.8399999999017,21.3,28.7,34.68,294.3,107.91,235.44,212.0,651.0
1780.1099999999017,21.3,28.7,34.68,117.72,166.77,58.86,114.0,651.0
1780.3799999999017,21.3,28.7,34.68,0.0,0.0,0.0,0.0,651.0
1780.6499999999016,21.3,28.7,34.68,0.0,58.86,58.86,39.0,651.0
1780.9199999999016,21.3,28.7,34.68,0.0,0.0,0.0,0.0,651.0
1781.1899999999016,21.3,28.7,34.68,58.86,166.77,117.72,114.0,651.0
1781.4599999999016,21.3,28.7,34.68,235.44,107.91,107.91,150.0,651.0
1781.7299999999016,21.3,28.7,34.43,0.0,107.91,0.0,35.0,651.0
1781.9999999999015,21.3,28.7,34.68,0.0,58.86,0.0,19.0,652.0
1782.2699999999015,21.3,28.7,34.68,58.86,0.0,117.72,58.0,652.0
1782.5399999999015,21.3,28.7,34.68,117.72,225.63,117.72,153.0,652.0
1782.8099999999015,21.3,28.7,34.68,284.49,166.77,814.23,421.0,652.0
1783.0799999999015,21.3,28.7,34.68,0.0,0.0,0.0,0.0,652.0
1783.3499999999015,21.3,28.7,34.93,58.86,0.0,49.05,35.0,652.0
1783.6199999999014,21.3,28.7,34.68,0.0,58.86,58.86,39.0,652.0
1783.8899999999014,21.3,28.7,34.43,58.86,58.86,58.86,58.0,652.0
1784.1599999999014,21.3,28.7,34.68,58.86,117.72,166.77,114.0,652.0
1784.4299999999014,21.3,28.7,34.43,58.86,0.0,49.05,35.0,652.0
1784.6999999999014,21.3,28.7,34.93,0.0,0.0,0.0,0.0,653.0
1784.9699999999013,21.3,28.7,34.68,0.0,0.0,58.86,19.0,653.0
1785.2399999999013,21.3,28.7,34.68,58.86,176.58,107.91,114.0,653.0
1785.5099999999013,21.3,28.7,34.68,107.91,58.86,578.79,248.0,653.0
1785.7799999999013,21.3,28.7,34.68,0.0,58.86,58.86,39.0,653.0
1786.0499999999013,21.3,28.7,34.43,0.0,0.0,58.86,19.0,653.0
1786.3199999999013,21.3,28.7,34.68,0.0,0.0,58.86,19.0,653.0
1786.5899999999012,21.3,28.7,34.68,0.0,58.86,49.05,35.0,653.0
1786.8599999999012,21.3,28.7,34.68,58.86,0.0,58.86,39.0,653.0
1787.1299999999012,21.3,28.7,34.43,58.86,117.72,49.05,75.0,654.0
1787.3999999999012,21.3,28.7,34.68,58.86,0.0,0.0,19.0,654.0
1787.6699999999012,21.3,28.7,34.68,0.0,58.86,0.0,19.0,654.0
1787.9399999999011,21.3,28.7,34.68,461.07,225.63,107.91,264.0,654.0
1788.2099999999011,21.3,28.7,34.68,107.91,107.91,235.44,150.0,654.0
1788.479999999901,21.3,28.7,34.68,0.0,0.0,0.0,0.0,654.0
1788.749999999901,21.3,28.7,34.68,58.86,58.86,58.86,58.0,654.0
1789.019999999901,21.3,28.7,34.68,0.0,58.86,58.86,39.0,654.0
1789.289999999901,21.3,28.7,34.68,58.86,0.0,49.05,35.0,654.0
1789.559999999901,21.3,28.7,34.43,176.58,107.91,284.49,189.0,654.0
1789.829999999901,21.3,28.7,34.68,58.86,58.86,0.0,39.0,654.0
1790.099999999901,21.3,28.7,34.68,58.86,0.0,0.0,19.0,655.0
1790.369999999901,21.3,28.7,34.68,0.0,58.86,0.0,19.0,655.0
1790.639999999901,21.3,28.7,34.68,58.86,294.3,58.86,137.0,655.0
1790.909999999901,21.3,28.7,34.68,107.91,107.91,235.44,150.0,655.0
1791.179999999901,21.3,28.7,34.68,0.0,0.0,0.0,0.0,655.0
1791.449999999901,21.3,28.7,34.68,58.86,0.0,0.0,19.0,655.0
1791.719999999901,21.3,28.7,34.68,0.0,58.86,0.0,19.0,655.0
1791.9899999999009,21.3,28.7,34.68,0.0,58.86,58.86,39.0,655.0
1792.2599999999009,21.3,28.7,34.68,117.72,0.0,107.91,75.0,655.0
1792.5299999999008,21.3,28.7,34.68,58.86,117.72,117.72,98.0,655.0
1792.7999999999008,21.3,28.7,34.68,58.86,0.0,58.86,39.0,656.0
1793.0699999999008,21.3,28.6,34.68,58.86,0.0,0.0,19.0,656.0
1793.3399999999008,21.3,28.6,34.68,58.86,117.72,107.91,94.0,656.0
1793.6099999999008,21.3,28.6,34.68,58.86,58.86,519.93,212.0,656.0
1793.8799999999007,21.3,28.6,34.68,58.86,0.0,0.0,19.0,656.0
1794.1499999999007,21.3,28.6,34.68,0.0,0.0,0.0,0.0,656.0
1794.4199999999007,21.3,28.6,34.68,0.0,0.0,0.0,0.0,656.0
1794.6899999999007,21.3,28.6,34.68,0.0,0.0,0.0,0.0,656.0
1794.9599999999007,21.3,28.6,34.68,166.77,117.72,412.02,232.0,656.0
1795.2299999999007,21.3,28.6,34.68,0.0,568.98,294.3,287.0,656.0
1795.4999999999006,21.3,28.6,34.68,0.0,0.0,0.0,0.0,657.0
1795.7699999999006,21.3,28.6,34.68,58.86,58.86,58.86,58.0,657.0
1796.0399999999006,21.3,28.6,34.68,0.0,58.86,58.86,39.0,657.0
1796.3099999999006,21.3,28.6,34.68,0.0,107.91,49.05,52.0,657.0
1796.5799999999006,21.3,28.6,34.68,58.86,0.0,49.05,35.0,657.0
1796.8499999999005,21.3,28.6,34.68,0.0,58.86,0.0,19.0,657.0
1797.1199999999005,21.3,28.6,34.68,0.0,0.0,0.0,0.0,657.0
1797.3899999999005,21.3,28.7,34.68,0.0,0.0,58.86,19.0,657.0
1797.6599999999005,21.3,28.7,34.68,117.72,58.86,284.49,153.0,657.0
1797.9299999999005,21.3,28.7,34.43,0.0,0.0,58.86,19.0,657.0
1798.1999999999005,21.3,28.7,34.93,0.0,0.0,0.0,0.0,658.0
1798.4699999999004,21.3,28.7,34.68,0.0,58.86,58.86,39.0,658.0
1798.7399999999004,21.3,28.7,34.68,58.86,58.86,49.05,55.0,658.0
1799.0099999999004,21.3,28.7,34.68,0.0,0.0,58.86,19.0,658.0
1799.2799999999004,21.3,28.7,34.68,58.86,58.86,58.86,58.0,658.0
1799.5499999999004,21.3,28.7,34.68,0.0,0.0,58.86,19.0,658.0
1799.8199999999003,21.3,28.7,34.68,0.0,0.0,0.0,0.0,658.0
1800.0899999999003,21.3,28.7,34.68,0.0,0.0,0.0,0.0,658.0
1800.3599999999003,21.3,28.7,34.68,0.0,58.86,117.72,58.0,658.0
1800.6299999999003,21.3,28.7,34.68,58.86,58.86,0.0,39.0,658.0
1800.8999999999003,21.3,28.7,34.68,58.86,58.86,58.86,58.0,659.0
1801.1699999999003,21.3,28.7,34.68,58.86,0.0,0.0,19.0,659.0
1801.4399999999002,21.3,28.6,34.68,0.0,166.77,0.0,55.0,659.0
1801.7099999999002,21.3,28.6,34.68,0.0,107.91,49.05,52.0,659.0
1801.9799999999002,21.3,28.6,34.68,0.0,58.86,0.0,19.0,659.0
1802.2499999999002,21.3,28.6,34.68,58.86,58.86,0.0,39.0,659.0
1802.5199999999002,21.3,28.6,34.68,0.0,0.0,0.0,0.0,659.0
1802.7899999999001,21.3,28.6,34.68,58.86,0.0,0.0,19.0,659.0
1803.0599999999001,21.3,28.6,34.68,58.86,0.0,284.49,114.0,659.0
1803.3299999999,21.3,28.6,34.68,117.72,58.86,235.44,137.0,659.0
1803.5999999999,21.3,28.6,34.68,0.0,58.86,58.86,39.0,660.0
1803.8699999999,21.3,28.6,34.68,58.86,0.0,0.0,19.0,660.0
1804.1399999999,21.3,28.6,34.68,58.86,107.91,58.86,75.0,660.0
1804.4099999999,21.3,28.6,34.68,117.72,58.86,0.0,58.0,660.0
